"1-molssaeavttut","1-valinnat"
"leahkkašládja","musteen tyyppi"
"leahko áđaid","poista sovelmien lukitus"
"leakkas ohp-media","kuuma ohp media"
"lean mielláhttu","olen jäsen"
"leat joavdan dokumeanta lohppii.","asiakirjan loppu saavutettiin."
"leat joavdan dokumeantta álgui.","asiakirjan alku saavutettiin."
"leat joavdan vuogas merkošiid listtu lohppii.","olet täydennyslistan lopussa."
"leat rievdadan fálu. hálidatgo rievdadusaid vurket?","olet tehnyt muutoksia valikkoon. haluatko tallentaa vai hylätä muutokset?"
"leatgo dát rievttes dieđut?","ovatko nämä tiedot oikein?"
"leavgaheivehusat","lisäsivujen asetukset"
"leavgasiiddut","etulehdet"
"leavggat","alkulehdet"
"leavggat ja govat","liput ja kuvat"
"ledger","ledger"
"legal (8 1/2 × 1 4 dumá","legal (8 1/2 x 1 4 tuumaa"
"legal (8 1/2 × 1 4 dumá","legal (8 1/2 x 1 4 tuumaa"
"legal (8 1/2 × 1 4 dumá","legal 8 1/2 x 1 4 tuumaa"
"legal, 1200x60 0 čd","legal, 1200x60 0 dpi"
"legal, 600x60 0 čd","legal, 600x60 0 dpi"
"legal1 3","legal1 3"
"legal1 4","legal1 4"
"lek","lek"
"lempira","lempira"
"leo franchi","leo franchi"
"leone","leone"
"lesotho","lesoto"
"letter (8 1/2 × 1 1 in","letter (8 1/2 x 1 1 tuumaa"
"letter (8 1/2 × 1 1 dumá","letter (8 1/2 x 1 1 tuumaa"
"letter 8 1/2 × 1 1 dumá","letter 8 1/2 x 1 1 tuumaa"
"letter, 1200x60 0 čd","letter, 1200x60 0 dpi"
"letter, 600x60 0 čd","letter, 600x60 0 dpi"
"letter, ivdni","letter, väri"
"letter, ránesivnnit","letter, harmaasävy"
"leu","leu"
"lev","leva"
"lex/flex","lex/flex"
"leŋke garri 1, 2 ja 3","linkki kaukalo 3"
"leŋke gárri 1 ja 2","linkki kaukalo 2"
"lftp","lftp"
"libanon punda","libanonin punta"
"libya dinára","lybian dinar"
"libyan arab jamahiriya","libyan arab jamahiriya"
"lietuva litus","liettuan litus"
"lieđđevielgat","kukanvalkoinen"
"lihkostuvai kommentára sáddemis.","kommentin lähetys onnistui."
"lihkostuvai oktavuođaváldin dása 1","onnistunut yhteys palvelimelle 1"
"lihkostuvai stivrrana olggosfievrridit.","ajuri vietiin onnistuneesti."
"lihkostuvai sáddet geahččalansiiddu 1 čálánii.","testisivu lähetetty tulostimelle 1."
"lihkostuvai viežžat heivehusdieđuid ođđasit.","asetustiedot ladattu uudelleen onnistuneesti."
"lihkostuvai čoahkkáibahkket máhpa '1'","kansio \ 1\ pakattiin onnistuneesti"
"lihkostuvvai automáhtalaččat heivehit fierpmádaga","verkkoasetukset saatiin tehtyä automaattisesti"
"lihkostuvvai","onnistui"
"lihti","sisältää"
"lihtteáđat","säiliön osat"
"liibme mielddusin","liitä liitteeksi"
"liibme ođđa lásii","liitä uuteen ikkunaan"
"liibme fiillas","liitä tiedostoon"
"liibme ja bija sisa","liitä ja lisää"
"liibme merkejuvvon teavstta","liitä hiirivalinnan sisältö"
"liibme seallaid gaskii","liitä lisäten"
"liibme sisa bájuhussan","liitä lainauksena"
"liibme čuohpusbeavddi teavstta mielddusin","liitä teksti leikepöydältä liitteeksi"
"liibmejuvvon bihtát","paloja liimattu"
"liibmemin sisa máŋgejuvvon seallaid","liitä lisäämällä soluja"
"liige gáibádusat*","lisävaatimukset*"
"liige olggoslođat","lisätulostuskaukalot"
"liigedieđut 1","lisätiedot 1"
"liigegiella","varakieli"
"liigegovašfáddá","varmistuskuvaketeema"
"liigemáŋgen báddái","nauhavarmistustyökalu"
"liigerolla","ylimääräinen rooli"
"liktenbábir","rauta päällä"
"liktenárka","silitettävä siirtokalvo"
"lilangeni","lilangeni"
"lilo","lilo"
"lilypond","lilypond"
"lineára (2,4,6,...","lineaarinen (2,4,6,..."
"linnjá olggos","linja ulos"
"linnjá sisa","linja sisään"
"linnjá 1","linja 1"
"linnjá 2","linja 2"
"linnjá 3","linja 3"
"linnjábiebmanásaheapmi","rivinvaihdon korjaus"
"linnjágovva","viivakuva"
"linnjágovva (ivnnit dahje ránesivnnit","viivakuva (väri tai harmaasävy"
"linnjágovva ja teaksta","rivi taide teksti"
"linnjámolsunmearka","rivinvaihtomerkit"
"linnját máhcojuvvojit dán čuolddas","rivinvaihto sarakkeessa"
"linux soft raid (md","linux soft raid (md"
"linux-ivnnit","linux-värit"
"linux-konsolla","linux-konsoli"
"lira","liira"
"listostiila","luettelotyyli"
"listoveahkki","lista-ohje"
"listovuorkát","lista-arkistot"
"listočájehanheivehusat","luettelonäkymän asetukset"
"listu fiillain mat dál galget sihkkujuvvot.","tämä on lista nimikkeistä, jotka ovat poistettavana."
"listu ii-báikkálaš domenain maid galgá lohkat.","lista alueverkon (ei linkkilokaalit) verkkoalueista, joita haluat selata."
"listu mas leat php-čoavddasánit ja php-bienat","phpn avainsana/datatyyppi luettelo"
"listu","luettelo"
"livki vuordinsieván","vilkkuva osoitin"
"liŋka dása 1 (2","linkki kohteeseen 1(2"
"liŋka ovttadahkii","linkki laitteeseen"
"liŋkateaksta","linkin teksti"
"liŋkka teaksta","linkkiteksti"
"liŋkka čujuhus","linkin verkko-osoite"
"liŋkkaid ivdni","linkkien väri"
"loahpaleavga","lopetuslisäsivu"
"loahppa","lopeta"
"loahpahanáigi","loppuaika"
"loahpahanbeaivi","loppupäivä"
"loahpahanárvu","loppuarvo"
"loahpat maŋŋá","lopeta jälkeen"
"loahpat bargovuoru","päätä istunto"
"loahpat rievdadahttima","lopeta merkkikoon muutos"
"loahppaárvu (fv","tulevaisuusarvo (fv"
"loahppaárvu (eavttolaš","tulevaisuusarvo (valinnainen"
"lobihis ovdavuorru 1","virheellinen prioriteetti 1"
"loga kconfig()-merkošiid - geavahandihte skálžu-skriptain","lue kconfig-tietueet - komentotulkin skripteissä käytettäväksi"
"loga boahtte boahtti dieđu","lue seuraava odottava viesti"
"loga dieđu","lue viesti"
"loga eanet dieđuid dán oktavuođa birra","lue lisää tästä yhteystiedosta"
"loga heivehusa","skannaa asetukset"
"loga stdin sisdoallu","lue standardisyöte (stdin"
"loga stdina sisdoallu","lue vakiosyötteen sisältö"
"loga stdina sisdoalu","lue stdin-syötteen sisältö"
"logakeahtes","lukematonta"
"logakeahttes reivve","viestejä lukematta"
"logalaš","looginen levynide"
"logan","lukija"
"loganat","lukijat"
"logihkkaspeallu blackbox","blackbox logiikkapeli"
"logo-báiki","logoalue"
"logtalk","logtalk"
"logut","luvut"
"logádasat 1/1 0","kymmenesosina 1/1 0"
"logát virtuella čállinbeavdi lea válljejuvvon","virtuaalityöpöytä kymmenen on valittu"
"lohkan","lukeminen"
"lohkan/čállin","luku-kirjoitus"
"lohkana","counta"
"lohkangalledeamit","lukuja"
"lohkanleavga suovvá geahččat fiilla sisdoalu.","luku-valinta sallii tiedostojen sisällön lukemisen."
"lohkat ruvttodahkii","kiinnitä ruudukkoon"
"lohkat áđaid","lukitse sovelmat"
"lohkat,","luku,"
"lohkkadanavádat","tarttuvat reunat"
"lohkkadanboallu ii leat šat aktiivalaš","lukitusnäppäin on nyt deaktivoitu"
"lohkkadanboallu lea aktiivalaš","lukitusnäppäin on aktivoitu"
"lohkkadanvuohki","lukitustapa"
"lohkkat bargovuoru","lukitse istunto"
"lohkkat bargovuoru","lukitse istunto"
"lohkkat bargovuoru álo","pakota lukitsemaan istunto"
"lohkkat šearpma","lukitse näyttöruutu"
"lohkojuvvon dáhta","dataa luettu"
"lohkon reivvet boarásmuvvojit maŋŋá","merkitse luetut viestit vanhentuneiksi, kun kulunut"
"lohku","kanavapaikka"
"lohku, desimálasiffar","numero, desimaali"
"lohku-a","lukumääräa"
"lokte","korota"
"lokte dahje vuolit láse","nosta tai laske ikkuna"
"lokte rámma","nosta ruudukko edemmäksi"
"lokte/vuolit","nosta tai laske"
"lonuhanmuitu","sivutusmuisti"
"lonut 1. čállinbeavdái","vaihda työpöytään 1"
"lonut 1 0. čállinbeavdái","vaihda työpöytään 1 0"
"lonut 1 1. čállinbeavdái","vaihda työpöytään 1 1"
"lonut 1 2. čállinbeavdái","vaihda työpöytään 1 2"
"lonut 1 3. čállinbeavdái","vaihda työpöytään 1 3"
"lonut 1 4. čállinbeavdái","vaihda työpöytään 1 4"
"lonut 1 5. čállinbeavdái","vaihda työpöytään 1 5"
"lonut 1 6. čállinbeavdái","vaihda työpöytään 1 6"
"lonut 1 7. čállinbeavdái","vaihda työpöytään 1 7"
"lonut 1 8. čállinbeavdái","vaihda työpöytään 1 8"
"lonut 1 9. čállinbeavdái","vaihda työpöytään 1 9"
"lonut 2. čállinbeavdái","vaihda työpöytään 2"
"lonut 2 0. čállinbeavdái","vaihda työpöytään 2 0"
"lonut 3. čállinbeavdái","vaihda työpöytään 3"
"lonut 4. čállinbeavdái","vaihda työpöytään 4"
"lonut 5. čállinbeavdái","vaihda työpöytään 5"
"lonut 6. čállinbeavdái","vaihda työpöytään 6"
"lonut 7. čállinbeavdái","vaihda työpöytään 7"
"lonut 8. čállinbeavdái","vaihda työpöytään 8"
"lonut 9. čállinbeavdái","vaihda työpöytään 9"
"lonut bajil čállinbeavdái","vaihda yläpuolella olevalle työpöydälle"
"lonut ránnjámearkkat","merkkien muuttaminen"
"lonut vuolil čállinbeavdái","vaihda alapuolella olevalle työpöydälle"
"lonut čuovvovaš čállinbeavdái","vaihda seuraavaan työpöytään"
"loopback (loops","takaisinkytkentä (\loopback\) (loops"
"lossabut bábir (2 8 lb","raskaampi paperi (2 8lb"
"lossamus bábir (3 2 lb","raskain paperi (3 2lb"
"losses bábir (2 4 lb","raskas paperi (2 4lb"
"losses media >= 2 8 lbs","raskas media >=2 8lbs"
"loti","loti"
"lotzi boloni","lotzi boloni"
"lođa 0 (badjin","bin ylä"
"lođa 1 5","kaukalo 1 5bin 1 5"
"lođa 6","kaukalo 6"
"lođa 7","kaukalo 7"
"lođavuođđu","vetolaatikon kanta"
"ls","ls"
"lt","lt"
"lua syntáksamerken","lua-korostus"
"luboš lunak","lubos lunak"
"luca montecchiani","luca montecchiani"
"lucid emacs","lucid emacs"
"ludde čájeheami","jaettu näkymä"
"ludde čájeheami ceaggut","jaa näkymä pystysuunnassa"
"ludde čájeheami lásku","jaa näkymä vaakasuunnassa"
"luddejuvvon čájehanmodus","puolitettu katselutila"
"lulit fránskkalaš guovlu","franc southern territories"
"lulli austrália","australia/eucla"
"lulli ámerihkká","etelä-amerikka"
"luohkkámiellahtut","luokan jäsenet"
"luohkkáčohkkehus","luokan luonti"
"luohkkáčálánat","luokan tulostimet"
"luohttehahtti","luotettu"
"luoitejuvvon sisdoalu fiilanamma","pudotettujen tietojen tiedostonimi"
"luoitin ii bisán váikko luoittát luotinboalu.","alaspudotusta ei pysäytetä, kun pudotusnäppäin vapautetaan."
"luoitinjahki","julkaisuvuosi"
"luoitinlistu","pudotusluettelo"
"luoitinlistu ja automáhtalaččat","pudotusluettelo ja automaattinen"
"luoitte buot sáhpánboaluid.","vapauta hiiripainikeet"
"luoitte doaimma","laske tehtävä"
"luoitte dovddana dása","pudota anturi tähän"
"luoitte njuolga vulos","suora pudottaminen"
"luoitujuvvon páhka","pudotettuja paketteja"
"luossaruoksat","lohenpunainen"
"luossaruoksat 1","lohenpunainen 1"
"lyx-dokumeanta","shakkipelien katselin"
"lynx","lynx"
"lágamus sturrodat ja skála","lähin koko ja skaalaus"
"lágamus sturrodat ja čuohpan","lähin koko ja leikkaus"
"láhtten go duppalcoahkkalat namahusholgga.","käyttäytyminen, kun otsikkoriviä kaksoisnapsautetaan."
"láhtten go guovddášcoahkkalat maksimerenboalu.","mitä tapahtuu, kun suurennuspainiketta napsautetaan hiiren keskipainikkeella."
"láhtten go gurutcoahkkalat maksimerenboalu.","mitä tapahtuu, kun suurennuspainiketta napsautetaan hiiren vasemmalle painikkeella."
"láhtten go olgešcoahkkalat maksimerenboalu.","mitä tapahtuu, kun suurennuspainiketta napsautetaan hiiren oikealla painikkeella."
"láhtten go lea unnán toner","toiminta kun väri on vähissä"
"láktašupmi ádjánii menddo guhkká","yhteyden aikakatkaisu"
"laktašuvvon","paikalla"
"láse 1. čállinbeavdái","ikkuna työpöydälle 1"
"láse 1 0. čállinbeavdái","ikkuna työpöydälle 1 0"
"láse 1 1. čállinbeavdái","ikkuna työpöydälle 1 1"
"láse 1 2. čállinbeavdái","ikkuna työpöydälle 1 2"
"láse 1 3. čállinbeavdái","ikkuna työpöydälle 1 3"
"láse 1 4. čállinbeavdái","ikkuna työpöydälle 1 4"
"láse 1 5. čállinbeavdái","ikkuna työpöydälle 1 5"
"láse 1 6. čállinbeavdái","ikkuna työpöydälle 1 6"
"láse 1 7. čállinbeavdái","ikkuna työpöydälle 1 7"
"láse 1 8. čállinbeavdái","ikkuna työpöydälle 1 8"
"láse 1 9. čállinbeavdái","ikkuna työpöydälle 1 9"
"láse 2. čállinbeavdái","ikkuna työpöydälle 2"
"láse 2 0. čállinbeavdái","ikkuna työpöydälle 2 0"
"láse 3. čállinbeavdái","ikkuna työpöydälle 3"
"láse 4. čállinbeavdái","ikkuna työpöydälle 4"
"láse 5. čállinbeavdái","ikkuna työpöydälle 5"
"láse 6. čállinbeavdái","ikkuna työpöydälle 6"
"láse 7. čállinbeavdái","ikkuna työpöydälle 7"
"láse 8. čállinbeavdái","ikkuna työpöydälle 8"
"láse 9. čállinbeavdái","ikkuna työpöydälle 9"
"láse boahtte šerbmii","ikkuna seuraavalle näytöllenäytölle"
"láse buot čállinbevddiide","ikkuna kaikilla työpöydillä"
"láse ii leat šat maksimerejuvvon","ikkuna menettää suurennuksen"
"láse ii oačču merkoša bargoholggas","ikkuna ei näy tehtäväpalkissa"
"láse ii šat buot čállinbevddiin","ikkuna ei kaikilla työpöydillä"
"láse ii-maksimerejuvvo","poista ikkunan suurennus"
"láse ja čállinbeavdi","ikkuna ja työpöytä"
"láse lea máhcošuvvon","ikkuna on palautettu"
"láse maksimerejuvvui","ikkuna on suurennettu"
"láse minimerejuvvui","ikkuna on pienennetty"
"láse máhcošuvvo","suurenna ikkuna takaisin"
"láse oidnogođii buot čállinbevddiin","ikkuna näytetään kaikilla työpöydillä"
"láse ovddit čállinbeavdái","ikkuna edelliselle työpöydälle"
"láse rullejuvvui bajás","ikkuna rullataan ylös"
"láse rullejuvvui vulos","ikkuna rullataan alas"
"láse sáddejuvvo kickerprográmma vuogádatgárcui.","ikkuna on lähetetty paneelin järjestelmäkoriin."
"láse čuovvovaš čállinbeavdái","ikkuna seuraavalle työpöydälle"
"láselávkestat ...","ikkunan pikanäppäin..."
"lásenamahus","ikkunan otsikko"
"láserolla","ikkunan rooli"
"lásedoaimmat","ikkunan toiminnot"
"láseduogáš","ikkunan tausta"
"lásegieđahalli giehtaovttadagaid várás","ikkunaohjelma pda-laitteisiin"
"láseheivehusat 1 várás","ikkunan 1 asetukset"
"láseláhtten stivrenmoduvla","ikkunoiden toiminnan moduuli"
"láset","x-ikkunointi"
"láset ja barggut","ikkunat ja tehtävät"
"láseteaksta","ikkunan teksti"
"lásečiŋat stivrenmoduvla","ikkunoiden kehysten asetusmoduuli"
"lásešdoaimmaheaddji","dialogieditori"
"lásešlájat","ikkunatyypit"
"láseža sajádat","ikkunan sijainti"
"lásežiid govat","dialogien läpinäkymättömät kuvat"
"lásežiid govat mas leat unnán ivnnit","kyselyikkunoiden vähäväriset kuvat"
"lásežiid govažat","ikkunoiden kuvat"
"lásiid doaimmafállu","ikkunan pikavalikko"
"lásku ivdnerievdadeapmi","vaakaväriliuku"
"lásku ásaheapmi (čuoggát","vaakasuuntainen (x-)siirto (pisteinä"
"láskunjulges ivdnekaseahttamudden","horis. kohdistus patruunoiden välillä"
"látviagiella","lavaps"
"lávderáhkadeaddji","maisemamallintaja"
"lávkes badjel","siirry kohdan yli"
"lávkes boahtte linnjái ...","askella seuraavalle riville..."
"lávkes olggos","siirry pois kohdasta"
"lávkevuodjin ...","suorita askelittain..."
"lávki","askella"
"lávki lea negatiiva.","askelarvo on negatiivinen."
"lávkigamma","stpgamma"
"lávkki árvu","askelarvo"
"minimerejuvvon","minimoitu"
"modemovttadat","modeemin laite"
"m 3u","m 3u-soittolista"
"m 3u-čuojahanlistodieđut","käyttöliittymä mp 3-soittolistoille"
"mab-db","mab-db"
"mad","mad"
"max(árvu;árvu;...","max(arvo;arvo;..."
"maxa(árvu;árvu;...","maxa(arvo;arvo;..."
"mb-biebmi - molssaeaktu","mp-syötin - valinnat"
"md 5-čoakkaldat","md 5-kooste"
"mdl","mdl"
"meattáhus amas protokolla '1'.","virhe tuntematon protokolla \ 1\."
"meattáhus ii gávdnan fontta nama.","virhe kirjasimen nimen selvittäminen epäonnistui."
"median(1 2; 5; 5,5) dieđiha 5,5","median(1 2; 5; 5.5) on 5.5"
"median(1 2; 7; 8;2) dieđiha 7,5","median(1 2; 7; 8;2) on 7.5"
"median(árvu;árvu;...","median(arvo;arvo;..."
"mgf","mgf"
"mid(\"koffice\";2;3) dieđiha 'off'","mid(\"koffice\";2;3) palauttaa \"ffi\""
"mid(teaksta;sajádat","mid(teksti;paikka"
"midi-jietna","mediasyötelukija"
"mime oktiiheivvolaš (quoted printable","mime-yhteensopiva (quoted printable"
"mime-sládja","mimetyyppi"
"min(árvu;árvu;...","min(arvo;arvo;..."
"mina(árvu;árvu;...","mina(arvo;arvo;..."
"minute(\"2 2.1 0.1 2\ dieđiha 1 0","minute(\"22101 2\ palauttaa 1 0"
"minute(0,123 4) dieđiha 5 7","minute(0.123 4) palauttaa 5 7"
"minute(áigi","minute(aika"
"minutes(\"105 2\ dieđiha 5","minutes(\"105 2\ palauttaa 5"
"minutes()-funkšuvdna dieđiha áigecealkaga minuhtaárvvu.","minutes()-funktio palauttaa arvonaan aikalausekkeen minuuttien määrän."
"minutes(áigi","minutes(aika"
"mips assembler","mips-assembleri"
"mkd","mkd"
"mldonkey gtk+ guovddášstivrejeaddji","mldonkey gtk+ core controller"
"mldonkey-lakta","mldonkey-käyttöliittymä"
"mmk","mmk"
"mnt","mnt"
"mod(1 2;5) dieđiha 2","mod(1 2;5) palauttaa 2"
"mod(5;5) dieđiha 0","mod(5;5) palauttaa 0"
"mod(árvu;árvu","mod(arvo;arvo"
"mode(1 2; 1 4; 1 2; 1 5) dieđiha 1 2","mode(1 2; 1 4; 1 2; 1 5) palauttaa arvon 1 2"
"mode(gaska","mode(arvoväli"
"mode(nummir; nummir 2; ...","mode(numero; numero 2; ..."
"month(\"200 2-0 2-2 2\ dieđiha 2","month(\"2 2.2.200 2\ palauttaa 2"
"month(232 3,128 5) dieđiha 5","month(232 3.128 5) palauttaa 5"
"month(dáhton","month(päivämäärä"
"monthname()-funkšuvdna dieđiha mánu nama (1...12).","monthname()-funktio palauttaa kuukauden nimen (1...1 2)."
"monthname(5) dieđiha miessemánu","monthname(5) palauttaa toukokuu"
"monthname(nummir","monthname(luku"
"mop","mop"
"mov-videočuojan","mov-videosoitin"
"mp gárri","mp kaukalo"
"mp-biebmi","mp-syötin"
"mp 2-jietna","mp 2-ääni"
"mp 3-dieđut","mp 3 info"
"mpeg","mpeg"
"mpeg-video","muokkaa dv-videota"
"mpeg-čuojan","mpeg-soitin"
"mplayer","mplayer"
"mro","mro"
"mround(-1,25 2; -0,5) dieđiha -1,5","mround(-1.25 2; -0.5) tuloksena on -1.5"
"mround(1,25 2; 0,5) dieđiha 1,5","mround(1.25 2; 0.5) tuloksena on 1.5"
"ms windows 9x","ms windows 9x"
"ms write sisafievrridanlásaš","mx write -tuonti-ikkuna"
"msn-klienta","ftp-asiakasohjelma"
"mtl","mtl"
"multinomial(3;4;5) dieđiha 2772 0","multinomial(3;4;5) tuloksena on 2772 0"
"multinomial(árvu;árvu;...","multinomial(arvo;arvo;..."
"multiply(1 2,5;2) dieđiha 2 5","multiply(1 2.5;2) tuloksena on 2 5"
"multiply(1 2;5;7) dieđiha 42 0","multiply(1 2;5;7) tuloksena on 42 0"
"multiply(árvu;árvu;...","multiply(arvo;arvo;..."
"mur","mur"
"mvr","mvr"
"mwk","mwk"
"mx70 0 johtakeahtes optihkalaš sáhpán","mx70 0 langaton optinen hiiri"
"mx70 0 johtakeahtes optihkalaš sáhpán (2 ká","mx70 0 langaton optinen hiiri (2-kanavainen"
"mxn","mxn"
"mxv","mxv"
"myr","myr"
"mzm","mzm"
"ma=1","ai=1"
"mac-coakkáldat","mac-skeema"
"madagaskara franc","malagasy franc"
"magenta, black","magenta, musta"
"magenta, yellow","magenta, keltainen"
"magenta, yellow, black","magenta, keltainen, musta"
"magentadássi","magentan taso"
"magentaruksesdássi (dusse ivdnekaseahtta","magenta taso värit"
